"","id","title","description","publishTime","kind_stats","duration_seconds","viewCount","likeCount","commentCount","pull_date"
"31","DBPYB8WkkDc","Bring Me Back Snow From The North Pole","ad https://www.amazon.com/redone.",2024-12-10 17:00:00,"youtube#video",55,348393456,14247072,10379,"2025-04-28 00:03:09.151500+00:00"
"32","zvBXpoBegwE","I Got T-Series To Subscribe To Me","",2024-12-09 17:00:01,"youtube#video",31,116930922,6749146,11793,"2025-04-28 00:03:09.151500+00:00"
"33","LJDN7dzrErg","Never Doing This Again…","",2024-12-03 17:30:00,"youtube#video",8,19287154,1091560,3405,"2024-12-17 00:08:24.647251+00:00"
"34","SWc8fI_9iqA","Ronaldo Teaches Me How To SIUU","",2024-12-01 17:00:00,"youtube#video",15,221554193,8064213,29546,"2025-04-28 00:03:09.151500+00:00"
"35","0BjlBnfHcHM","Beat Ronaldo, Win $1,000,000","I still can't believe we got all of these athletes for this Thanks Yahoo Sports for sponsoring. Enter for a chance to meet me at one of ...",2024-11-30 17:00:00,"youtube#video",1365,259935665,7535518,113233,"2025-04-28 00:03:09.151500+00:00"
"36","HcL1EQ5qD_g","Confronting Ronaldo","",2024-11-29 17:30:10,"youtube#video",21,160089643,10743807,19760,"2025-04-28 00:03:09.151500+00:00"
"37","yf_C8penA9k","Giving A Stranger $1,000,000","",2024-11-20 17:00:01,"youtube#video",35,33863144,2099171,4919,"2024-11-30 00:01:54.786714+00:00"
"38","dc089EZRGcg","How Many Balloons To Make A Store Fly?","ad.",2024-11-18 19:00:00,"youtube#video",22,350172028,9650973,9732,"2025-04-28 00:03:09.151500+00:00"
"39","vXNtju4VFm4","Restocking MrBeast Labs at Walmart","",2024-11-18 17:00:00,"youtube#video",36,192218367,4429211,3324,"2025-04-28 00:03:09.151500+00:00"
"40","I9mw5UlDyPI","This Game Is Wild...","",2024-11-12 17:00:00,"youtube#video",19,516097687,12360704,7678,"2025-04-28 00:03:09.151500+00:00"
"41","pS-fFdvyHLE","How Much Tape To Stop A Lamborghini?","",2024-11-08 17:00:00,"youtube#video",15,576287832,13044884,17362,"2025-04-13 00:04:39.670563+00:00"
"42","Xj0Jtjg3lHQ","$1 vs $500,000 Experiences!","I didn't know some of these were possible MrBeast Lab Swarms are flying off the shelves! Grab yours now at Walmart, Target, ...",2024-11-02 16:00:00,"youtube#video",1060,233559105,4896128,55729,"2025-04-28 00:03:09.151500+00:00"
"43","HHV4WT8AA1w","Can You Surf A Pool Table?","",2024-10-30 16:00:00,"youtube#video",23,34875659,1713149,5271,"2024-11-12 00:04:35.428218+00:00"
"44","9UtcHPCEBgg","1 Subscriber = 1 Penny","",2024-10-19 18:00:00,"youtube#video",17,285033671,15299902,20996,"2025-04-28 00:03:09.151500+00:00"
"45","ZNt_GoOBHq8","Human vs Jet Engine","",2024-10-17 19:00:00,"youtube#video",19,433038447,12528538,15547,"2025-04-28 00:03:09.151500+00:00"
"46","bn0Kh9c4Zv4","7 Days Exploring An Underground City","This salt mine is the coolest underground city I've ever seen Get Zaxbys MrBeast Box while you still can - Chicken Fingerz™, ...",2024-10-12 16:00:00,"youtube#video",1235,142507897,3487797,31888,"2025-04-28 00:03:09.151500+00:00"
"47","dDVFnfCwjHA","Will A Basketball Boat Hold My Weight?","",2024-10-11 16:00:01,"youtube#video",30,298849644,9202502,5847,"2025-04-18 00:06:03.806800+00:00"
"48","Kt2HvqRruHQ","Find The Real MrBeast, Win $10,000","",2024-10-05 16:00:00,"youtube#video",37,265101202,9240586,6271,"2025-04-28 00:03:09.151500+00:00"
"49","IHNQhb-mjZc","How Many Twins Can You Spot?","",2024-10-03 18:00:01,"youtube#video",17,26276222,1240929,2270,"2024-10-13 00:01:09.671294+00:00"
"50","vDrSCXFMAKk","Spot The Difference, Win $10,000","",2024-09-28 20:00:00,"youtube#video",58,195816404,7372427,4792,"2025-04-07 00:04:51.143965+00:00"
"51","snX5YyflrGw","100 Identical Twins Fight For $250,000","I've never seen this many twins in one place before lol Our brand new flavor is here: Cookies & Creme, made with rich chocolatey ...",2024-09-28 16:00:00,"youtube#video",2140,151452175,3175298,27369,"2025-04-27 00:02:44.651322+00:00"
"52","nbzQdlWrcnk","Running With Bigger And Bigger Lunchlys","",2024-09-20 16:00:00,"youtube#video",18,275490932,7748794,9577,"2025-04-28 00:03:09.151500+00:00"
"53","8krJy31Diow","Holding Bigger And Bigger Dogs","",2024-09-16 18:00:00,"youtube#video",17,253551510,7444736,8257,"2025-04-28 00:03:09.151500+00:00"
"54","aRcUVhVlSHg","Men Vs Women Survive The Wilderness For $500,000","Some of these strategies were wild! Wet things clean better than dry things, so ditch the toilet paper and get confidently clean with ...",2024-09-07 16:00:00,"youtube#video",1908,169073880,3997561,49182,"2025-04-28 00:03:09.151500+00:00"
"55","Jo7sfpeWqwE","Will A Guitar Boat Hold My Weight?","",2024-09-05 16:00:01,"youtube#video",20,671340782,17562571,14638,"2025-04-28 00:03:09.151500+00:00"
"56","QtD-CeUdRUQ","Real Or Cake For $10,000","",2024-08-29 16:00:00,"youtube#video",37,167393978,6889119,13626,"2025-04-28 00:03:09.151500+00:00"
"57","ndAQfTzlVjc","7 Days Stranded In A Cave","I didn't think surviving in a cave would be that challenging Check out Swarms! It's the coolest collectible ever with over 100 ...",2024-08-17 16:00:00,"youtube#video",1079,147746133,4440908,93232,"2025-04-28 00:03:09.151500+00:00"
"58","AydS-vA3qa4","Running With Bigger And Bigger Feastables","",2024-08-15 23:00:00,"youtube#video",17,385637314,11803443,29052,"2025-04-28 00:03:09.151500+00:00"
"59","UPrkC1LdlLY","Survive 100 Days In Nuclear Bunker, Win $500,000","This video was really fun to make, I hope you enjoy it :) Download Monster Hunter Now and take on my hunting challenge ...",2024-08-03 16:00:00,"youtube#video",1941,278731964,5876700,85946,"2025-04-28 00:03:09.151500+00:00"
"60","8bTQMDM4qvY","Spot The Fake Animal For $10,000","",2024-07-19 16:00:00,"youtube#video",40,504096761,16043704,27926,"2025-04-28 00:03:09.151500+00:00"
"61","DBw0oD38z0Q","This Game Is Wild","",2024-07-17 16:00:00,"youtube#video",21,210735442,6018475,11881,"2025-04-28 00:03:09.151500+00:00"
"62","4SNThp0YiU4","50 YouTubers Fight For $1,000,000","I can't believe how intense this video got The Samsung Galaxy Ring and Z Flip6 blew my mind in this video – you've gotta check ...",2024-07-13 16:00:01,"youtube#video",2487,353477498,9287987,346220,"2025-04-28 00:03:09.151500+00:00"
"63","XhuisK0bTSA","Pass The Phone To…","",2024-07-11 17:00:01,"youtube#video",60,212760430,10481134,49553,"2025-04-28 00:03:09.151500+00:00"
"64","lkCRPp7cnP8","How Many Balloons Does It Take To Fly?","",2024-07-10 17:00:00,"youtube#video",18,487957168,19853427,50809,"2025-04-28 00:03:09.151500+00:00"
"65","KkCXLABwHP0","I Built 100 Houses And Gave Them Away!","Thank you for making this video possible Techo: https://techo.org/ FFTP: https://foodforthepoor.org/housing-jamaica/ New Story: ...",2024-06-29 16:00:00,"youtube#video",576,189300036,7610014,289507,"2025-04-28 00:03:09.151500+00:00"
"66","PWirijQkH4M","World’s Deadliest Obstacle Course!","The obstacles in this video only get crazier as it goes on… Head to Walmart for Cirkul's BIGGEST. DROP. EVER. ⌛️ (while ...",2024-06-15 16:00:01,"youtube#video",1705,311055829,6461851,143402,"2025-04-28 00:03:09.151500+00:00"
"67","U_LlX4t0A9I","$10,000 Every Day You Survive In The Wilderness","They survived longer than I expected lol Feast like a Beast with Zaxby's new MrBeast Box, served with 4 Chicken Fingerz™, ...",2024-06-01 16:00:00,"youtube#video",1570,272748206,8184347,331985,"2025-04-28 00:03:09.151500+00:00"
"68","T8I165Qxeo8","Sprinting with More and More Money","",2024-05-30 16:00:01,"youtube#video",29,300605008,11802965,85487,"2025-04-27 00:02:44.651322+00:00"
"69","i-9V21MqlhY","Giving 1000 Phones Away","",2024-05-28 16:00:00,"youtube#video",18,291911718,21930673,798700,"2025-04-28 00:03:09.151500+00:00"
"70","YyNz4--6fro","World’s Smartest Dog","",2024-05-16 16:00:00,"youtube#video",12,218248723,9688314,33361,"2025-04-28 00:03:09.151500+00:00"
"71","f0cXJ6mJxGc","Bottle Head Smashing World Record Attempt!","",2024-05-14 16:00:00,"youtube#video",38,452151904,12169697,48844,"2025-04-28 00:03:09.151500+00:00"
"72","F6PqxbvOCUI","Protect The Yacht, Keep It!","This video did not go how I expected it to Craft your perfect defense from a combination of powerful Monkey Towers and awesome ...",2024-05-11 16:00:00,"youtube#video",908,149641068,4112960,80764,"2025-04-28 00:03:09.151500+00:00"
"73","oA4LSZvX4iE","Ages 1-100 Try My Chocolate","",2024-05-09 16:00:00,"youtube#video",39,243015017,9498733,33662,"2025-04-27 00:02:44.651322+00:00"
"74","ZKxnjszkZto","Spot The Hidden People For $10,000","",2024-05-08 16:00:01,"youtube#video",35,185551522,6242157,11697,"2025-04-28 00:03:09.151500+00:00"
